Company Name,Sectors,Market Cap,Ticker,Description,Formatted Description
ACM RESEARCH,Semiconductors & Semiconductor Equipment,1157167401.0,ACMR,"ACM Research, Inc. develops, manufactures, and sells production equipment and provides service solutions for single-wafer or batch wet cleaning, electroplating, stress-free polishing, plasma-enhanced chemical vapor deposition (PECVD), track and thermal processes. The Company offers two principal models of wet wafer cleaning equipment based on its Space Alternated Phase Shift (SAPS) technology, Ultra C SAPS II and Ultra C SAPS V. It has also developed Timely Energized Bubble Oscillation (TEBO) technology for application in wet wafer cleaning during the fabrication of two-dimensional (2D) and three-dimensional (3D) wafers with fine feature sizes. It has designed these tools for use in fabricating foundry, logic, and memory chips, including dynamic random-access memory (DRAM), 3D NAND-flash memory chips, and compound semiconductor chips. The Company also develops, manufactures, and sells a range of advanced packaging tools to wafer assembly and packaging customers.","#### 📌 **ACM RESEARCH**
- ACM Research, Inc
- develops, manufactures, and sells production equipment and provides service solutions for single-wafer or batch wet cleaning, electroplating, stress-free polishing, plasma-enhanced chemical vapor deposition (PECVD), track and thermal processes
- The Company offers two principal models of wet wafer cleaning equipment based on its Space Alternated Phase Shift (SAPS) technology, Ultra C SAPS II and Ultra C SAPS V
- It has also developed Timely Energized Bubble Oscillation (TEBO) technology for application in wet wafer cleaning during the fabrication of two-dimensional (2D) and three-dimensional (3D) wafers with fine feature sizes
- It has designed these tools for use in fabricating foundry, logic, and memory chips, including dynamic random-access memory (DRAM), 3D NAND-flash memory chips, and compound semiconductor chips
- The Company also develops, manufactures, and sells a range of advanced packaging tools to wafer assembly and packaging customers"
AKAMAI TECHNOLOGIES,Software & IT Services,9966490508.0,AKAM,"Akamai Technologies, Inc. is a cybersecurity and cloud computing company. The Company develops and provides solutions for global enterprises to build, secure and accelerate their applications and digital experiences. Akamai Connected Cloud, the Company's platform, is comprised of an edge and cloud architecture and underlying network for cloud computing, security and content delivery services. Its cloud computing services include compute, storage, networking, database and container management services that are required to build, deploy and secure applications and workloads. Its security solutions are designed to keep infrastructure, websites, applications, application programming interfaces and users safe from a multitude of cyberattacks and online threats while improving performance. Its content delivery solutions consist of Web and mobile performance focused solutions and media delivery solutions. It also provides services and support for its customers as they utilize its solutions.","#### 📌 **AKAMAI TECHNOLOGIES**
- Akamai Technologies, Inc
- is a cybersecurity and cloud computing company
- The Company develops and provides solutions for global enterprises to build, secure and accelerate their applications and digital experiences
- Akamai Connected Cloud, the Company's platform, is comprised of an edge and cloud architecture and underlying network for cloud computing, security and content delivery services
- Its cloud computing services include compute, storage, networking, database and container management services that are required to build, deploy and secure applications and workloads
- Its security solutions are designed to keep infrastructure, websites, applications, application programming interfaces and users safe from a multitude of cyberattacks and online threats while improving performance
- Its content delivery solutions consist of Web and mobile performance focused solutions and media delivery solutions
- It also provides services and support for its customers as they utilize its solutions"
AMN HEALTHCARERVICES,Healthcare Providers & Services,743766655.0,AMN,"AMN Healthcare Services, Inc. is a provider of total talent solutions for healthcare organizations across the United States. The Company provides access to a comprehensive network of quality healthcare professionals through its recruitment strategies and breadth of career opportunities. Its segments include nurse and allied solutions, physician and leadership solutions, and technology and workforce solutions. The nurse and allied solutions segment includes its travel nurse staffing, labor disruption staffing, local staffing, international nurse permanent placement, and allied staffing businesses. The physician and leadership solutions segment includes its locum tenens staffing, healthcare interim leadership staffing, executive search, and physician permanent placement businesses. The technology and workforce solutions segment includes the Companys language services, vendor management systems (VMS), workforce optimization, and outsourced solutions businesses.","#### 📌 **AMN HEALTHCARERVICES**
- AMN Healthcare Services, Inc
- is a provider of total talent solutions for healthcare organizations across the United States
- The Company provides access to a comprehensive network of quality healthcare professionals through its recruitment strategies and breadth of career opportunities
- Its segments include nurse and allied solutions, physician and leadership solutions, and technology and workforce solutions
- The nurse and allied solutions segment includes its travel nurse staffing, labor disruption staffing, local staffing, international nurse permanent placement, and allied staffing businesses
- The physician and leadership solutions segment includes its locum tenens staffing, healthcare interim leadership staffing, executive search, and physician permanent placement businesses
- The technology and workforce solutions segment includes the Companys language services, vendor management systems (VMS), workforce optimization, and outsourced solutions businesses"
ANHEUSER-BUSCH INBEV-SPN,Beverages,105469700000.0,BUD,"Anheuser-Busch Inbev SA is a Belgium-based company. The Company is primarily engaged in the manufacturing of beer. The Company operates through six segments: North America, Middle Americas, South America, EMEA, Asia Pacific, Global Export and Holding companies. The Company's brand portfolio includes global brands, such as Budweiser, Corona and Stella Artois; international brands, including Beck's, Leffe and Hoegaarden, and local champions, such as Bud Light, Skol, Brahma, Antarctica, Quilmes, Victoria, Modelo Especial, Michelob Ultra, Harbin, Sedrin, Klinskoye, Sibirskaya Korona, Chernigivske, Cass and Jupiler. The Company's soft drinks business consists of both own production and agreements with PepsiCo related to bottling and distribution arrangements between its various subsidiaries and PepsiCo. Ambev, which is a subsidiary of the Company, is a PepsiCo bottler. Brands that are distributed under these agreements are Pepsi, 7UP and Gatorade.","#### 📌 **ANHEUSER-BUSCH INBEV-SPN**
- Anheuser-Busch Inbev SA is a Belgium-based company
- The Company is primarily engaged in the manufacturing of beer
- The Company operates through six segments: North America, Middle Americas, South America, EMEA, Asia Pacific, Global Export and Holding companies
- The Company's brand portfolio includes global brands, such as Budweiser, Corona and Stella Artois; international brands, including Beck's, Leffe and Hoegaarden, and local champions, such as Bud Light, Skol, Brahma, Antarctica, Quilmes, Victoria, Modelo Especial, Michelob Ultra, Harbin, Sedrin, Klinskoye, Sibirskaya Korona, Chernigivske, Cass and Jupiler
- The Company's soft drinks business consists of both own production and agreements with PepsiCo related to bottling and distribution arrangements between its various subsidiaries and PepsiCo
- Ambev, which is a subsidiary of the Company, is a PepsiCo bottler
- Brands that are distributed under these agreements are Pepsi, 7UP and Gatorade"
ARCUTIS BIOTHERAPEUTICS,Biotechnology & Medical Research,1696527000.0,ARQT,"Arcutis Biotherapeutics, Inc. is a commercial-stage medical dermatology company. The Company is focused on developing and commercializing treatments for dermatological diseases with high-unmet medical needs. Its portfolio is comprised of topical and systemic treatments with potential to treat immune-mediated dermatological diseases and conditions. Its lead product, ZORYVE, is for the treatment of plaque psoriasis, including psoriasis in the intertriginous areas, in individuals 12 years of age or older. The ZORYVE is also indicated for topical treatment of mild to moderate atopic dermatitis. ZORYVE cream is a once-daily topical formulation of roflumilast, a potent and selective phosphodiesterase-4 (PDE4) inhibitor. The Companys pipeline includes ARQ-255, ARQ-252, and ARQ-234. Its ARQ-255 is being developed for the treatment of alopecia areata. ARQ-252 is an alternative topical cream formulation of ivarmacitinib that the Company is developing for chronic hand eczema and vitiligo.","#### 📌 **ARCUTIS BIOTHERAPEUTICS**
- Arcutis Biotherapeutics, Inc
- is a commercial-stage medical dermatology company
- The Company is focused on developing and commercializing treatments for dermatological diseases with high-unmet medical needs
- Its portfolio is comprised of topical and systemic treatments with potential to treat immune-mediated dermatological diseases and conditions
- Its lead product, ZORYVE, is for the treatment of plaque psoriasis, including psoriasis in the intertriginous areas, in individuals 12 years of age or older
- The ZORYVE is also indicated for topical treatment of mild to moderate atopic dermatitis
- ZORYVE cream is a once-daily topical formulation of roflumilast, a potent and selective phosphodiesterase-4 (PDE4) inhibitor
- The Companys pipeline includes ARQ-255, ARQ-252, and ARQ-234
- Its ARQ-255 is being developed for the treatment of alopecia areata
- ARQ-252 is an alternative topical cream formulation of ivarmacitinib that the Company is developing for chronic hand eczema and vitiligo"
BEACON ROOFING SUPPLY,Homebuilding & Construction Supplies,7513347840.0,BECN,"Beacon Roofing Supply, Inc. is a distributor of specialty building products, including roofing materials and complementary products, such as siding and waterproofing. The Company operates over 580 branches throughout all 50 states in the United States and seven provinces in Canada. The Company is primarily focused on two core markets: residential and non-residential roofing. Its product lines are designed to meet the requirements of its residential, non-residential, and complementary building products customers. It offers its own private label brand, TRI-BUILT, and has a proprietary digital account management suite, Beacon PRO+, which allows customers to manage their businesses online. Its project lifecycle support helps its customers find projects, land the job, do the work, and close projects out by providing guidance. Its customer base is composed of professional contractors, home builders, building owners, lumberyards, and retailers across the United States and Canada.","#### 📌 **BEACON ROOFING SUPPLY**
- Beacon Roofing Supply, Inc
- is a distributor of specialty building products, including roofing materials and complementary products, such as siding and waterproofing
- The Company operates over 580 branches throughout all 50 states in the United States and seven provinces in Canada
- The Company is primarily focused on two core markets: residential and non-residential roofing
- Its product lines are designed to meet the requirements of its residential, non-residential, and complementary building products customers
- It offers its own private label brand, TRI-BUILT, and has a proprietary digital account management suite, Beacon PRO+, which allows customers to manage their businesses online
- Its project lifecycle support helps its customers find projects, land the job, do the work, and close projects out by providing guidance
- Its customer base is composed of professional contractors, home builders, building owners, lumberyards, and retailers across the United States and Canada"
BROOKDALENIOR LIVING,Healthcare Providers & Services,1026970083.0,BKD,"Brookdale Senior Living Inc. is a premier operator of senior living communities, operating and managing 665 communities in 41 states. The Company operates independent living, assisted living, memory care, and continuing care retirement communities. It operates through three segments: Independent Living; Assisted Living and Memory Care, Continuing Care Retirement Communities (CCRCs). Its Independent Living segment includes owned or leased communities that are primarily designed for middle to upper-income seniors who desire to live in a residential setting that feels like home, without the efforts of ownership. Its Assisted Living and Memory Care segment includes owned or leased communities that offer housing and 24-hour assistance with activities of daily living for the Company's residents. The CCRCs segment includes large owned or leased communities that offer a variety of living arrangements and services to accommodate a broad spectrum of physical ability and healthcare needs.","#### 📌 **BROOKDALENIOR LIVING**
- Brookdale Senior Living Inc
- is a premier operator of senior living communities, operating and managing 665 communities in 41 states
- The Company operates independent living, assisted living, memory care, and continuing care retirement communities
- It operates through three segments: Independent Living; Assisted Living and Memory Care, Continuing Care Retirement Communities (CCRCs)
- Its Independent Living segment includes owned or leased communities that are primarily designed for middle to upper-income seniors who desire to live in a residential setting that feels like home, without the efforts of ownership
- Its Assisted Living and Memory Care segment includes owned or leased communities that offer housing and 24-hour assistance with activities of daily living for the Company's residents
- The CCRCs segment includes large owned or leased communities that offer a variety of living arrangements and services to accommodate a broad spectrum of physical ability and healthcare needs"
BROWN-FORMAN,Beverages,15364560000.0,BF B,"Brown-Forman Corporation manufactures, distills, bottles, imports, exports, markets, and sells a range of beverage alcohol products. Its brands include Jack Daniel's Tennessee Whiskey, Jack Daniel's Tennessee Honey, Gentleman Jack Rare Tennessee Whiskey, Jack Daniel's Tennessee Fire, Jack Daniel's Tennessee Apple, Jack Daniel's Bonded Tennessee Whiskey, Old Forester Whiskey Row Series, Jack Daniel's Sinatra Select, Old Forester Kentucky Straight Bourbon Whisky, Jack Daniel's Tennessee Rye, Old Forester Kentucky Straight Rye Whiskey, Jack Daniels Winter Jack, Woodford Reserve Kentucky Bourbon, Woodford Reserve Double Oaked, Fords Gin, Woodford Reserve Kentucky Rye Whiskey, Slane Irish Whiskey, Woodford Reserve Kentucky Straight Wheat Whiskey, Coopers' Craft Kentucky Bourbon, Woodford Reserve Kentucky Straight Malt Whiskey, The GlenDronach, el Jimador and Part Time Rangers RTDs. The Company's brands are sold in more than 170 countries worldwide.","#### 📌 **BROWN-FORMAN**
- Brown-Forman Corporation manufactures, distills, bottles, imports, exports, markets, and sells a range of beverage alcohol products
- Its brands include Jack Daniel's Tennessee Whiskey, Jack Daniel's Tennessee Honey, Gentleman Jack Rare Tennessee Whiskey, Jack Daniel's Tennessee Fire, Jack Daniel's Tennessee Apple, Jack Daniel's Bonded Tennessee Whiskey, Old Forester Whiskey Row Series, Jack Daniel's Sinatra Select, Old Forester Kentucky Straight Bourbon Whisky, Jack Daniel's Tennessee Rye, Old Forester Kentucky Straight Rye Whiskey, Jack Daniels Winter Jack, Woodford Reserve Kentucky Bourbon, Woodford Reserve Double Oaked, Fords Gin, Woodford Reserve Kentucky Rye Whiskey, Slane Irish Whiskey, Woodford Reserve Kentucky Straight Wheat Whiskey, Coopers' Craft Kentucky Bourbon, Woodford Reserve Kentucky Straight Malt Whiskey, The GlenDronach, el Jimador and Part Time Rangers RTDs
- The Company's brands are sold in more than 170 countries worldwide"
CARVANA,Specialty Retailers,37625897056.0,CVNA,"Carvana Co. is a holding company. The Company operates an e-commerce platform for buying and selling used cars. On the Company's platform, consumers can research and identify a vehicle, inspect it using its 360-degree vehicle imaging technology, obtain financing and warranty coverage, purchase the vehicle, and schedule delivery or pick-up, all from their desktop or mobile devices. It also provides automated vehicle valuations for buying vehicles from customers with or without a retail purchase, automated financing, vehicle service contracts (VSC), auto insurance, GAP waiver coverage, limited warranty, and other ancillary products. It offers pick-up and delivery options, including pick-up at its vending machines or hubs, and as soon as same day deliveries, depending on the market. The Company's in-house customer advocates are available to answer customer questions that arise throughout the process.","#### 📌 **CARVANA**
- is a holding company
- The Company operates an e-commerce platform for buying and selling used cars
- On the Company's platform, consumers can research and identify a vehicle, inspect it using its 360-degree vehicle imaging technology, obtain financing and warranty coverage, purchase the vehicle, and schedule delivery or pick-up, all from their desktop or mobile devices
- It also provides automated vehicle valuations for buying vehicles from customers with or without a retail purchase, automated financing, vehicle service contracts (VSC), auto insurance, GAP waiver coverage, limited warranty, and other ancillary products
- It offers pick-up and delivery options, including pick-up at its vending machines or hubs, and as soon as same day deliveries, depending on the market
- The Company's in-house customer advocates are available to answer customer questions that arise throughout the process"
CHEMED,Healthcare Providers & Services,8368673874.0,CHE,"Chemed Corporation is engaged in purchasing, operating, and divesting subsidiaries in diverse business activities. The Company's segment includes VITAS and the Roto-Rooter. The VITAS segment provides hospice and palliative care services to its patients through a network of physicians, registered nurses, home health aides, social workers, clergy and volunteers. It provides direct medical services to patients, as well as spiritual and emotional counseling to both patients and their families. The Roto-Rooter segment provides plumbing, drain cleaning, excavation, water restoration and other related services to residential and commercial customers. The Roto-Rooter services are provided through a network of Company-owned branches, independent contractors and franchisees. The Company's water restoration services involve the remediation of water and humidity after a flood and are provided to both commercial and residential customers.","#### 📌 **CHEMED**
- Chemed Corporation is engaged in purchasing, operating, and divesting subsidiaries in diverse business activities
- The Company's segment includes VITAS and the Roto-Rooter
- The VITAS segment provides hospice and palliative care services to its patients through a network of physicians, registered nurses, home health aides, social workers, clergy and volunteers
- It provides direct medical services to patients, as well as spiritual and emotional counseling to both patients and their families
- The Roto-Rooter segment provides plumbing, drain cleaning, excavation, water restoration and other related services to residential and commercial customers
- The Roto-Rooter services are provided through a network of Company-owned branches, independent contractors and franchisees
- The Company's water restoration services involve the remediation of water and humidity after a flood and are provided to both commercial and residential customers"
